epoch,map,map_05,train loss,train cls loss,train box reg loss,train obj loss,train rpn loss
1,0.7976214113597818,0.9584242773533299,1.2408266096711158,0.4796098,0.48112708,0.23310429,0.046985455
2,0.8770067658795846,0.975416045943174,0.282805265545845,0.10359214,0.14891696,0.0144363865,0.015859783
3,0.9004420846017199,0.9764037363681083,0.20213948082923888,0.073304184,0.10962756,0.006798582,0.012409155
4,0.9109992080837851,0.9794264465163921,0.167796068623662,0.060042907,0.09293904,0.00411437,0.010699759
5,0.9145220725547273,0.979792032879507,0.1459849132746458,0.05088813,0.08267569,0.0027035556,0.009717546
6,0.9227656718586501,0.9827737509929636,0.13085611534118652,0.045367718,0.07448949,0.001920197,0.009078713
7,0.9237497718035985,0.980022077968902,0.11909973622858525,0.040342502,0.06882516,0.0015209935,0.008411072
8,0.9288341758860794,0.980011587924277,0.10991177433729171,0.036113556,0.0646967,0.0011198268,0.0079816915
9,0.9295298253644341,0.9800602256097619,0.10053391054272652,0.03181481,0.060104348,0.00094747223,0.0076672765
10,0.9311460867407414,0.9800684469104133,0.09620758640766144,0.030495662,0.05776696,0.000731564,0.007213399
11,0.9295810693394096,0.9800685516455486,0.09037790665775537,0.028307358,0.05451511,0.0006176104,0.0069378284
12,0.9338475668333464,0.9800956826966769,0.08464450745284557,0.02551591,0.05182975,0.00061393355,0.006684917
13,0.9336302188316096,0.9800976708575414,0.08149980277568102,0.024545407,0.049979582,0.00052097585,0.006453839
14,0.9360878114954351,0.9801037046587915,0.07775495958328248,0.023170117,0.0478924,0.00046666883,0.006225776
15,0.9354560410675358,0.9801036864889499,0.07447653076797724,0.02209151,0.04600477,0.0003872097,0.0059930477
